,Unnamed: 0,Meses ultima donacion,Numero de Donaciones,Volumen donado cc,Meses primera donacion
416,378,16,1,450,16
417,1060,16,2,900,22
418,1141,16,1,450,16
419,214,16,1,450,16
420,832,16,4,1800,39
421,26,16,1,450,16
422,1390,16,2,900,42
423,1111,16,1,450,16
424,1443,16,3,1350,43
425,1011,16,1,450,16
426,77,16,1,450,16
427,1123,16,2,900,16
428,75,16,1,450,16
429,816,16,1,450,16
430,814,16,1,450,16
431,245,16,1,450,16
432,72,16,1,450,16
433,666,16,1,450,16
434,780,16,1,450,16
435,1393,16,1,450,16
436,1397,16,1,450,16
437,597,16,1,450,16
438,906,16,1,450,16
439,822,16,1,450,16
440,819,16,2,900,50
441,269,16,5,2250,43
442,854,16,2,900,19
443,1338,16,1,450,16
444,19,16,3,1350,37
445,227,16,2,900,22
446,880,16,2,900,32
447,1188,16,1,450,16
448,744,16,1,450,16
449,743,16,1,450,16
450,1057,16,2,900,22
451,594,16,1,450,16
452,505,16,1,450,16
453,1474,16,1,450,16
454,1098,16,1,450,16
455,21,19,2,900,35
456,1071,19,1,450,19
457,628,19,2,900,25
458,556,19,2,900,25
459,620,19,2,900,35
460,1050,19,2,900,45
461,561,19,3,1350,32
462,1493,19,3,1350,50
463,1518,19,1,450,19
464,1114,19,1,450,19
465,82,19,1,450,19
466,225,20,1,450,20
467,149,20,1,450,20
468,459,20,2,900,20
469,971,20,1,450,20
470,1470,20,1,450,20
471,638,20,1,450,20
472,1175,20,1,450,20
473,760,20,1,450,20
474,1211,20,1,450,20
475,810,20,1,450,20
476,578,20,1,450,20
477,247,20,1,450,20
478,401,20,4,1800,39
479,304,20,1,450,20
480,697,20,1,450,20
481,511,20,1,450,20
482,664,20,2,900,25
483,659,20,1,450,20
484,422,22,1,450,22
485,1043,22,7,3150,50
486,584,22,1,450,22
487,318,22,1,450,22
488,1326,22,1,450,22
489,1250,22,1,450,22
490,1422,22,2,900,28
491,1246,22,1,450,22
492,629,22,1,450,22
493,426,22,1,450,22
494,545,22,2,900,37
495,502,22,2,900,45
496,1253,22,2,900,28
497,360,22,1,450,22
498,324,22,1,450,22
499,380,22,1,450,22
500,424,22,2,900,28
501,787,22,2,900,28
502,834,22,1,450,22
503,440,22,1,450,22
504,956,22,2,900,37
505,353,22,1,450,22
506,244,22,1,450,22
507,430,22,4,1800,50
508,200,22,1,450,22
509,1161,22,1,450,22
510,93,22,1,450,22
511,412,22,2,900,28
512,531,22,1,450,22
513,152,22,1,450,22
514,875,22,2,900,50
515,32,22,2,900,42
516,759,22,1,450,22
517,1210,22,1,450,22
518,803,22,2,900,50
519,7,22,1,450,22
520,575,22,2,900,39
521,613,22,3,1350,35
522,1489,22,1,450,22
523,14,22,1,450,22
524,1139,22,2,900,28
525,890,22,3,1350,35
526,29,22,2,900,35
527,465,22,2,900,39
528,434,22,2,900,35
529,1115,25,1,450,25
530,1083,25,1,450,25
531,0,25,1,450,25
532,639,25,1,450,25
533,543,25,4,1800,50
534,13,25,2,900,45
535,1194,28,2,900,35
536,395,28,1,450,28
537,438,28,1,450,28
538,1165,28,1,450,28
539,1130,28,1,450,28
540,1395,28,1,450,28
541,1078,28,1,450,28
542,1334,28,1,450,28
543,1436,28,1,450,28
544,954,28,1,450,28
545,1411,28,1,450,28
546,1118,28,1,450,28
547,1461,28,1,450,28
548,1452,28,3,1350,39
549,1337,28,1,450,28
550,1278,28,2,900,35
551,1026,28,3,1350,50
552,1376,28,3,1350,35
553,1107,28,2,900,35
554,552,28,1,450,28
555,387,28,1,450,28
556,973,28,2,900,35
557,742,28,1,450,28
558,421,28,2,900,49
559,1216,28,1,450,28
560,237,28,2,900,35
561,1206,28,2,900,28
562,299,28,4,1800,45
563,1006,28,1,450,28
564,952,28,1,450,28
565,193,28,1,450,28
566,871,28,1,450,28
567,414,28,1,450,28
568,357,28,1,450,28
569,319,28,1,450,28
570,377,28,1,450,28
571,824,28,1,450,28
572,16,28,2,900,42
573,1023,28,1,450,28
574,1142,28,1,450,28
575,1075,28,3,1350,50
576,52,28,2,900,35
577,462,28,1,450,28
578,322,28,3,1350,45
579,71,28,4,1800,50
580,1009,28,2,900,50
581,264,28,1,450,28
582,1069,28,1,450,28
583,1182,28,1,450,28
584,1055,28,1,450,28
585,1268,28,2,900,35
586,762,28,1,450,28
587,892,28,2,900,39
588,1117,28,1,450,28
589,359,28,2,900,50
590,771,28,1,450,28
591,720,30,1,450,30
592,576,30,1,450,30
593,1105,30,1,450,30
594,103,30,1,450,30
595,855,30,1,450,30
596,706,30,1,450,30
597,1321,32,2,900,35
598,1513,32,1,450,32
599,811,32,1,450,32
600,779,32,1,450,32
601,1429,32,1,450,32
602,205,32,1,450,32
603,392,32,1,450,32
604,746,32,2,900,37
605,370,32,1,450,32
606,285,32,2,900,45
607,1289,32,2,900,37
608,1116,32,1,450,32
609,1102,32,1,450,32
610,163,32,1,450,32
611,945,32,1,450,32
612,626,32,1,450,32
613,527,32,2,900,50
614,339,32,3,1350,39
615,1449,32,1,450,32
616,317,32,2,900,49
617,909,32,1,450,32
618,912,32,1,450,32
619,603,32,1,450,32
620,1012,32,1,450,32
621,931,32,1,450,32
